alertID,Rule Description,Source IP,MITRE ATT&CK Technique,Rule ID,Fired Times,Severity Level,Timestamp
1,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,349,5,Apr 11 14:04:27
2,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,318,5,Apr 11 13:14:02
3,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,457,5,01-04-2011 11:45
4,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1058,5,Apr 11 14:17:02
5,sshd: authentication failed.,180.101.88.229,"Password Guessing,SSH",5760,328,5,01-04-2011 12:35
6,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,906,5,Apr 11 13:34:30
7,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1471,5,Apr 11 13:43:02
8,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,275,5,Apr 11 14:03:16
9,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,454,5,Apr 11 15:15:02
10,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,101,5,Apr 11 15:28:01
11,sshd: brute force trying to get access to the system. Non existent user.,104.225.217.122,Brute Force,5712,130,10,Apr 11 13:36:05
12,PAM: User login failed.,180.101.88.229,Password Guessing,5503,272,5,01-04-2011 12:16
13,PAM: User login failed.,104.225.217.122,Password Guessing,5503,206,5,Apr 11 16:11:02
14,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1445,5,Apr 11 15:49:04
15,PAM: User login failed.,104.225.217.122,Password Guessing,5503,942,5,Apr 11 14:35:02
16,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,11,10,Apr 11 15:05:41
17,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,684,5,Apr 11 13:28:04
18,PAM: Multiple failed logins in a small period of time.,104.225.217.122,Brute Force,5551,62,10,Apr 11 14:27:02
19,PAM: User login failed.,180.101.88.229,Password Guessing,5503,463,5,01-04-2011 12:43
20,sshd: authentication failed.,183.81.169.238,"Password Guessing,SSH",5760,331,5,Apr 11 14:32:55
21,sshd: authentication failed.,218.92.0.27,"Password Guessing,SSH",5760,271,5,Apr 11 16:34:03
22,PAM: User login failed.,104.225.217.122,Password Guessing,5503,1026,5,Apr 11 14:40:02
23,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,576,5,Apr 11 15:19:03
24,syslog: User missed the password more than one time,180.101.88.229,Brute Force,2502,2,10,Apr 11 13:02:10
25,PAM: Login session opened.,Unknown,Valid Accounts,5501,4,3,01-04-2011 12:35
26,sshd: Attempt to login using a non-existent user,170.64.196.141,"Password Guessing,SSH",5710,74,5,01-04-2011 11:05
27,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1003,5,Apr 11 13:36:02
28,sshd: Attempt to login using a non-existent user,39.109.117.82,"Password Guessing,SSH",5710,464,5,01-04-2011 12:23
29,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1066,5,Apr 11 14:17:05
30,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,90,5,Apr 11 13:26:03
31,File added to the system.,Unknown,,554,17,5,Unknown
32,sshd: Attempt to login using a non-existent user,170.64.161.109,"Password Guessing,SSH",5710,2701,5,Apr 11 13:58:11
33,sshd: Attempt to login using a non-existent user,104.225.217.122,"Password Guessing,SSH",5710,1050,5,Apr 11 14:17:02
